county,date,aqi_mean,aqi_max,pm25_mean,pm25_max,observation_count,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,fire_event_count_radius,smoke_present,min_fire_distance_km,fire_radius_km,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_roll3_mean,aqi_roll7_mean,target_next_day_aqi,target_next_day_exceedance
Fresno,2018-02-27,25.625,49.0,,,48.0,6.55,9.6,3.5,8.2,9.6,0.0,0.0,1500.0,150.0,56.4375,41.645833333333336,45.75,47.944444444444436,55.098214285714285,52.395833333333336,0.0
Fresno,2018-02-28,52.395833333333336,83.0,,,48.0,8.0,14.4,1.6,0.0,8.7,0.0,0.0,1500.0,150.0,25.625,56.4375,41.645833333333336,41.23611111111111,47.34226190476191,45.78787878787879,0.0
Fresno,2018-03-01,45.78787878787879,59.0,,,33.0,10.3,13.8,6.8,9.8,24.8,0.0,0.0,1500.0,150.0,52.395833333333336,25.625,56.4375,44.81944444444445,43.07142857142857,14.583333333333334,0.0
Fresno,2018-03-02,14.583333333333334,24.0,,,24.0,10.75,12.9,8.6,12.1,25.0,0.0,0.0,1500.0,150.0,45.78787878787879,52.395833333333336,25.625,41.269570707070706,45.103625541125545,12.458333333333334,0.0
Fresno,2018-03-03,12.458333333333334,21.0,,,24.0,9.35,12.1,6.6,1.5,15.9,0.0,0.0,1500.0,150.0,14.583333333333334,45.78787878787879,52.395833333333336,37.58901515151515,40.31791125541125,33.208333333333336,0.0
Fresno,2018-03-04,33.208333333333336,55.0,,,24.0,7.2,13.3,1.1,0.9,12.0,0.0,0.0,1500.0,150.0,12.458333333333334,14.583333333333334,45.78787878787879,24.276515151515152,35.561958874458874,38.833333333333336,0.0
Fresno,2018-03-05,38.833333333333336,52.0,,,24.0,7.85,15.5,0.2,0.0,10.0,0.0,0.0,1500.0,150.0,33.208333333333336,12.458333333333334,14.583333333333334,20.083333333333336,34.356601731601735,49.208333333333336,0.0
Fresno,2018-03-06,49.208333333333336,62.0,,,24.0,10.1,19.8,0.4,0.0,9.7,0.0,0.0,1500.0,150.0,38.833333333333336,33.208333333333336,12.458333333333334,28.166666666666668,31.841720779220783,55.54166666666666,0.0
Fresno,2018-03-07,55.54166666666666,69.0,,,24.0,12.1,19.7,4.5,0.0,10.1,0.0,0.0,1500.0,150.0,49.208333333333336,38.833333333333336,33.208333333333336,40.41666666666667,35.2107683982684,43.29166666666666,0.0
Fresno,2018-03-08,43.29166666666666,73.0,,,24.0,13.45,21.5,5.4,0.0,10.7,0.0,0.0,1500.0,150.0,55.54166666666666,49.208333333333336,38.833333333333336,47.86111111111111,35.66017316017316,47.583333333333336,0.0
Fresno,2018-03-09,47.583333333333336,64.0,,,24.0,14.65,21.6,7.7,0.0,10.1,0.0,0.0,1500.0,150.0,43.29166666666666,55.54166666666666,49.208333333333336,49.34722222222221,35.30357142857143,39.66666666666666,0.0
Fresno,2018-03-10,39.66666666666666,55.0,,,24.0,15.45,20.0,10.9,0.0,13.0,0.0,0.0,1500.0,150.0,47.583333333333336,43.29166666666666,55.54166666666666,48.80555555555555,40.017857142857146,40.75,0.0
Fresno,2018-03-11,40.75,54.0,,,24.0,14.1,19.1,9.1,2.4,9.2,0.0,0.0,1500.0,150.0,39.66666666666666,47.583333333333336,43.29166666666666,43.513888888888886,43.904761904761905,55.208333333333336,0.0
Fresno,2018-03-12,55.208333333333336,72.0,,,24.0,16.5,24.0,9.0,0.0,10.8,0.0,0.0,1500.0,150.0,40.75,39.66666666666666,47.583333333333336,42.666666666666664,44.982142857142854,18.666666666666668,0.0
Fresno,2018-03-13,18.666666666666668,32.0,,,24.0,19.05,24.2,13.9,11.3,19.1,0.0,0.0,1500.0,150.0,55.208333333333336,40.75,39.66666666666666,45.208333333333336,47.32142857142857,10.608695652173912,0.0
Fresno,2018-03-14,10.608695652173912,21.0,,,23.0,13.95,19.0,8.9,8.2,13.0,0.0,0.0,1500.0,150.0,18.666666666666668,55.208333333333336,40.75,38.208333333333336,42.95833333333333,19.541666666666668,0.0
Fresno,2018-03-15,19.541666666666668,31.0,,,24.0,10.5,15.2,5.8,0.4,14.0,0.0,0.0,1500.0,150.0,10.608695652173912,18.666666666666668,55.208333333333336,28.16123188405797,36.53933747412008,20.95833333333333,0.0
Fresno,2018-03-16,20.95833333333333,31.0,,,24.0,11.45,14.7,8.2,6.9,17.5,0.0,0.0,1500.0,150.0,19.541666666666668,10.608695652173912,18.666666666666668,16.272342995169083,33.14648033126294,41.16666666666666,0.0
Fresno,2018-03-17,41.16666666666666,68.0,,,24.0,7.35,12.7,2.0,4.3,9.3,0.0,0.0,1500.0,150.0,20.95833333333333,19.541666666666668,10.608695652173912,17.03623188405797,29.34290890269151,34.541666666666664,0.0
Fresno,2018-03-18,34.541666666666664,56.0,,,24.0,8.3,15.0,1.6,0.0,10.9,0.0,0.0,1500.0,150.0,41.16666666666666,20.95833333333333,19.541666666666668,27.222222222222218,29.557194616977224,35.666666666666664,0.0
Fresno,2018-03-19,35.666666666666664,54.0,,,24.0,10.7,19.2,2.2,0.0,8.3,0.0,0.0,1500.0,150.0,34.541666666666664,41.16666666666666,20.95833333333333,32.22222222222222,28.670289855072465,47.79166666666666,0.0
